PluName=???? ?????? ???????,LFCode=10785,Code=6183,BarCode=101,Rebate=0,UnitPrice=2300,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=31
PluName=??? ????? ?? ???????,LFCode=2785,Code=1332,BarCode=101,Rebate=0,UnitPrice=1440,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=32
PluName=?????? ???? 1 ????,LFCode=485,Code=5018,BarCode=101,Rebate=0,UnitPrice=3900,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=33
PluName=????? ???? ????? ??????? ?????? ??????,LFCode=29485,Code=7725,BarCode=101,Rebate=0,UnitPrice=4250,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=34
PluName=???? ???? ???? ???????/ ????? ???,LFCode=357,Code=5732,BarCode=101,Rebate=0,UnitPrice=990,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=35
PluName=???? ?????? ???????,LFCode=29357,Code=7148,BarCode=101,Rebate=0,UnitPrice=1150,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=36
PluName=???? ???? ??? ??? ???????/????? ???,LFCode=402,Code=5886,BarCode=101,Rebate=0,UnitPrice=2990,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=37
PluName=???  ???????,LFCode=10402,Code=4559,BarCode=101,Rebate=0,UnitPrice=650,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=38
PluName=?? ???? ???? ??????? 1 ???? ??????,LFCode=2030,Code=5234,BarCode=101,Rebate=0,UnitPrice=2950,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=39
PluName=???? ????? ????????/????,LFCode=1030,Code=6165,BarCode=101,Rebate=0,UnitPrice=3850,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=40
PluName=???? ????????????? ???????????????,LFCode=196,Code=5437,BarCode=101,Rebate=0,UnitPrice=2495,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=41
PluName=???? ??????? ???? ???????,LFCode=28196,Code=6453,BarCode=101,Rebate=0,UnitPrice=4165,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=42
PluName=???? ???? ????? ??????? ???????,LFCode=453,Code=6142,BarCode=101,Rebate=0,UnitPrice=1440,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=43
PluName=???? INSERT INTO tb_RLWPLUData (LFCode,Barcode,HotKey,PLUName,UnitPrice,,LFCode=29453,Code=6770,BarCode=101,Rebate=0,UnitPrice=1840,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=44
PluName=???? ???? ????? ???? ???????,LFCode=5,Code=2318,BarCode=101,Rebate=0,UnitPrice=1380,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=0,iRecNO=45
PluName=???????? ????-??? ???? ???????,LFCode=10005,Code=1024,BarCode=101,Rebate=0,UnitPrice=9720,WeightUnit=4,Deptment=0,Tare=0,ShlefTime=0,PackageType=0,PackageWeight=0,Tolerance=0,Message1=0,MultiLabel=0,HotKey=5,iRecNO=46
