0;8;14
خيار شرائح;63;0.99;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
خيار مغربي;64;0.845;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
طرشي مغربي;65;0.675;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
طرشي مصري;66;0.31;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
طرشي بوليفر;67;0.42;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
زيتون اخضر مصري;68;0.72;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
زيتون اسود مصري;69;1.15;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
فلفل بارد;70;0.7;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
فلفل حار;71;0.485;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
فلفل مكسرات;72;1.955;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
فلفل هلا بينوا;73;1.15;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
زيتون مغربي توم;74;1.23;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
زيتون محشي مغربي حار;75;1.23;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
زيتون سوري بالشطه عادي;76;1.22;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
زيتون سوري بالشطه خضار;77;1.22;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
سلطة مكدوس;78;1.38;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
مكدوس عادي;79;1.785;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
فلفل احمر;80;0.94;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
طماطم مجفف;81;5.74;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
خرشوف;82;8.95;Arial;12;0;-16777216;-1;;;0;Arial;12;0;-16777216;-1;0;0;0;
